P36575	ENSG00000120500
Q05DH4	ENSG00000164142
P09467	ENSG00000165140
A6PVY3	ENSG00000197520
Q8N9Y4	ENSG00000273533;ENSG00000140067
A6NL82	ENSG00000186973
Q8NB25	ENSG00000111879
A6NMK8	ENSG00000204767
Q7Z5A8	ENSG00000184599
Q7Z5A7	ENSG00000219438
Q9H8W3	ENSG00000165669
A6NFA0	ENSG00000187791
Q9NX38	ENSG00000119328
Q7L5A3	ENSG00000005238
Q96MZ4	ENSG00000250486
Q8WU58	ENSG00000173065
A6NNH2	
Q658Y4	ENSG00000176853
Q02487	ENSG00000134755
O60469	ENSG00000171587
O14972	ENSG00000157538
Q14126	ENSG00000046604
Q86SJ6	ENSG00000175065
Q9NZW4	ENSG00000152591
Q8TEA8	ENSG00000125821
Q8NBA8	ENSG00000169570
Q8N9I9	ENSG00000178498
P0CJ86	
Q9NRD9	ENSG00000137857
O75319	ENSG00000144048
P28562	ENSG00000120129
Q05923	ENSG00000158050
P51452	ENSG00000108861
Q16828	ENSG00000139318
P54792	
Q13838	ENSG00000230624;ENSG00000229496;ENSG00000215425;ENSG00000198563;ENSG00000225859;ENSG00000225073;ENSG00000235439
Q96IM9	ENSG00000133665
Q96DT5	ENSG00000105877
Q9UFH2	ENSG00000187775
Q8TD57	ENSG00000158486
Q9BQI3	ENSG00000086232
Q9NZJ5	ENSG00000172071
O00716	ENSG00000112242
O75461	ENSG00000169016
Q66K89	ENSG00000167967
P48664	ENSG00000105143
O00341	ENSG00000162383
Q8IY85	ENSG00000178852
A4FU69	ENSG00000176927
Q5THR3	ENSG00000186976
A8K855	ENSG00000203965
Q9P2K8	ENSG00000128829
Q92611	ENSG00000134109
Q3B7T1	ENSG00000107938
Q05639	ENSG00000101210
Q6NXP0	ENSG00000172771
P60507	
Q63HQ2	ENSG00000164318
P01133	ENSG00000138798
Q9H6Z9	ENSG00000129521
P18146	ENSG00000120738
Q96D98	ENSG00000176401
P78545	ENSG00000163435
P19419	ENSG00000126767
Q8IZ81	ENSG00000179387
P60002	ENSG00000130165
Q9HB03	ENSG00000119915
Q6IA86	ENSG00000134759
Q8TE02	ENSG00000170291
Q6PCB8	ENSG00000170571
Q5J8M3	ENSG00000128463
Q9Y6C2	ENSG00000138080
Q9NT22	ENSG00000183798
Q9N2K0	
P61568	
O42043	
P61570	
Q902F8	
Q9H0I2	ENSG00000124074
Q03111	ENSG00000130382
A6NNW6	ENSG00000188316
P21917	ENSG00000069696
Q6PGQ1	ENSG00000189269
Q9H410	ENSG00000149636
O60941	ENSG00000138101
Q9UNI6	ENSG00000081721
Q5VZP5	ENSG00000198842
Q13202	ENSG00000273793;ENSG00000184545;ENSG00000278165
Q9UBX2	ENSG00000283949;ENSG00000260596
O14640	ENSG00000107404
Q92997	ENSG00000161202
O00148	ENSG00000123136
Q8WWB3	ENSG00000170788
P51808	ENSG00000165169
Q03001	ENSG00000151914
Q8IYY4	ENSG00000158163
Q86YF9	ENSG00000134874
Q6ZTU2	
O43491	ENSG00000079819
Q9HCM4	ENSG00000115109
Q96JC9	ENSG00000144597
Q56P03	ENSG00000129518
Q8WWZ3	ENSG00000186197
O43854	ENSG00000164176
P20800	ENSG00000127129
O75530	ENSG00000074266
Q9Y2G0	ENSG00000084710
P56178	ENSG00000105880
Q6E0U4	ENSG00000161249
Q6PK57	
Q8IXT2	ENSG00000142025
P51530	ENSG00000138346
Q9GZS0	ENSG00000171595
Q9UPQ8	ENSG00000175283
Q9NYP3	ENSG00000159147
Q9Y3R5	ENSG00000142197
P30046	ENSG00000275003;ENSG00000099977
P09172	ENSG00000123454
Q1HG44	ENSG00000140274
Q8NEU8	ENSG00000136044
Q14181	ENSG00000014138
P28340	ENSG00000062822
Q9NRF9	ENSG00000148229
Q9UHN1	ENSG00000256525
Q9NY33	ENSG00000254986
P27487	ENSG00000197635
P42658	ENSG00000130226;ENSG00000282974
P01906	ENSG00000231823;ENSG00000206301;ENSG00000231526;ENSG00000233192;ENSG00000223793;ENSG00000237541;ENSG00000257473;ENSG00000225103
P01920	ENSG00000233209;ENSG00000225824;ENSG00000231286
O43781	ENSG00000143479
O75923	ENSG00000135636
Q86Y13	ENSG00000198919
Q9HAF1	ENSG00000163875
Q9BY08	ENSG00000123179
O60344	ENSG00000145194
Q13011	ENSG00000282853;ENSG00000104823
Q16610	ENSG00000143369
Q96FN9	ENSG00000129480
Q9NZJ0	ENSG00000143476
P0CJ89	
Q9NRD8	ENSG00000140279
Q6P1R4	ENSG00000169718
Q9NRW4	ENSG00000112679
Q9BV47	ENSG00000133878
Q96G46	ENSG00000141994
Q13115	ENSG00000120875
Q8IVF4	ENSG00000197653
Q6ZR08	ENSG00000174844
Q0VDD8	ENSG00000185842
Q8TE73	ENSG00000039139
Q9C0G6	ENSG00000115423
Q96JB1	ENSG00000124721
Q8NCM8	ENSG00000187240
Q96FJ2	ENSG00000264364
Q05193	ENSG00000106976
Q92630	ENSG00000127334
P00374	ENSG00000228716
O95672	ENSG00000171551
P55084	ENSG00000138029
P30084	ENSG00000127884
P42126	ENSG00000167969
Q5VYK3	ENSG00000136813
Q008S8	ENSG00000203734
P29692	ENSG00000273594;ENSG00000104529
A6NFE3	ENSG00000185055
Q9BUY7	ENSG00000140025
O75071	ENSG00000159658
Q5VUJ9	ENSG00000203666
A8MWE9	ENSG00000215529
Q0D2K5	
Q99944	ENSG00000240389;ENSG00000242038;ENSG00000243897;ENSG00000244444;ENSG00000239974;ENSG00000241404;ENSG00000240592
P00533	ENSG00000146648
P11161	ENSG00000122877
Q7L2H7	ENSG00000149100
A0A087WX78	
Q15723	ENSG00000109381
O95936	ENSG00000163508
Q09472	ENSG00000100393
P16422	ENSG00000119888
O95925	ENSG00000101448;ENSG00000249139
Q5T890	ENSG00000182150
P60509	
Q96RT1	ENSG00000112851
P18074	ENSG00000104884
Q13216	ENSG00000049167
P24390	ENSG00000105438
O43731	ENSG00000100196
P50548	ENSG00000105722
B6SEH8	ENSG00000269526
Q6ZVH7	ENSG00000144488
B1AK53	ENSG00000187017
Q1W209	
Q6NT32	ENSG00000159398
P10768	ENSG00000139684
P38117	ENSG00000105379
O95571	ENSG00000105755
Q8N2X6	
Q96PS1	ENSG00000163705
Q9Y5Q0	ENSG00000221968
Q96GK7	ENSG00000115042
Q6P587	ENSG00000180185
Q14CZ7	ENSG00000124279
A0AVK6	ENSG00000129173
Q9H4G0	ENSG00000088367
P43003	ENSG00000079215
P43004	ENSG00000110436
P43005	ENSG00000106688
P0CF75	ENSG00000223601
O95905	ENSG00000122882
P42892	ENSG00000117298
O75521	ENSG00000198721
A0A1B0GTR0	ENSG00000267710
Q7L9B9	ENSG00000122547
Q5VTE0	
P24534	ENSG00000283391;ENSG00000114942
O00418	ENSG00000103319
P60608	
Q9HAE3	ENSG00000034239
Q9HA90	ENSG00000114654
P52803	ENSG00000184349
P98172	ENSG00000090776
Q14232	ENSG00000111361
Q9UI10	ENSG00000115211
Q8N9N8	ENSG00000175376
O15371	ENSG00000100353
B5ME19	ENSG00000205609
Q53HC9	ENSG00000032389
Q14576	ENSG00000196361
Q9UKW6	ENSG00000135374
P28324	ENSG00000158711
Q9HB65	ENSG00000128886
P55199	ENSG00000105656
Q96BJ8	ENSG00000102890
Q96EB1	ENSG00000109911
Q8WYP5	ENSG00000153207
Q00013	ENSG00000130830
O00423	ENSG00000066629
Q32P44	ENSG00000149499
Q5T6L9	ENSG00000276187;ENSG00000130023
Q8N766	ENSG00000127463
Q9P0I2	ENSG00000125037
O43402	ENSG00000131148
Q96A84	ENSG00000186998
Q9BXX0	ENSG00000132205
Q8N8S7	ENSG00000154380
O14682	ENSG00000171617
Q0D2I5	ENSG00000010295
Q6K0P9	ENSG00000163564
P13164	ENSG00000185885
Q01628	ENSG00000142089
P05015	ENSG00000147885
P01563	ENSG00000188379
Q15653	ENSG00000104825;ENSG00000282905
Q9UBC1	ENSG00000204498;ENSG00000235125;ENSG00000236346;ENSG00000234530;ENSG00000236196;ENSG00000206440;ENSG00000227565
Q9BYH8	ENSG00000144802
P22301	ENSG00000136634
P35225	ENSG00000169194
Q9UHF5	ENSG00000127743
Q8TAD2	ENSG00000172458
P01584	ENSG00000125538
Q9NYY1	ENSG00000162891
Q9HBE4	ENSG00000138684
Q13418	ENSG00000166333
Q9HB29	ENSG00000115598
P52292	ENSG00000182481
O00629	ENSG00000186432
A9QM74	ENSG00000284068;ENSG00000185467
P80217	ENSG00000068079
Q6PI98	ENSG00000153391
P0DMQ5	ENSG00000259330
Q3KP66	ENSG00000163362
O15327	ENSG00000109452
Q9NRR6	ENSG00000148384
Q9BT40	ENSG00000132376
Q1MX18	ENSG00000188487
Q9Y581	ENSG00000120210
Q15181	ENSG00000180817
A6NCM1	
Q96DY2	ENSG00000166578
P0C7M6	ENSG00000229972
Q8N0W5	ENSG00000174628
Q9UPP2	ENSG00000120645;ENSG00000262607
Q13576	ENSG00000145703
Q13572	ENSG00000274958;ENSG00000100605
Q92613	ENSG00000102221
Q9Y219	ENSG00000184916
Q8N5M9	ENSG00000171135
O00458	ENSG00000006652
A0AVF1	ENSG00000105948
Q9NWB7	ENSG00000114446
Q6UW32	ENSG00000188293
Q6B9Z1	ENSG00000204869
Q86VF2	ENSG00000163395
P01877	ENSG00000211890
P0DOX8	
P0CG04	
P15814	ENSG00000128322
A1L1A6	ENSG00000216588
Q9NSI5	ENSG00000183067
P20809	ENSG00000095752
P29459	ENSG00000168811
Q5VWK5	ENSG00000162594
P24001	ENSG00000008517
Q9NZH7	ENSG00000136696
Q9NZH6	ENSG00000125571
P26951	ENSG00000185291
P32927	ENSG00000100368
P05112	ENSG00000113520
Q01344	ENSG00000091181
P13232	ENSG00000104432
Q96T52	ENSG00000184903
C9JVW0	ENSG00000257704
Q9NQS7	ENSG00000149503
Q9H160	ENSG00000168556
Q96T92	ENSG00000168348
Q9UL03	ENSG00000102786
Q9UI26	ENSG00000086200
O95373	ENSG00000205339
Q6NXS1	
Q9Y573	ENSG00000197429
A0A1B0GVH7	ENSG00000234828
O43187	ENSG00000134070
P10914	ENSG00000125347
Q15306	ENSG00000137265
Q00978	ENSG00000213928
Q9NZN1	ENSG00000169306
P35568	ENSG00000169047
Q96FT9	ENSG00000119650
Q9NQC8	ENSG00000118096
Q9P2H3	ENSG00000068885
P0DOX4	
Q8IYA8	ENSG00000173421
P25963	ENSG00000100906
Q8NEV9	ENSG00000197272
A1L0T0	ENSG00000105135
Q14974	ENSG00000108424
Q96G21	ENSG00000136718
Q8NBZ0	ENSG00000169592
P17181	ENSG00000142166
P58166	ENSG00000139269
Q9Y283	ENSG00000119509
Q92813	ENSG00000211448
Q96AB3	ENSG00000063241
P08833	ENSG00000146678
Q8WX77	ENSG00000137142
P32942	ENSG00000076662
Q9UMF0	ENSG00000105376
Q9BTL4	ENSG00000160888
Q9UG01	ENSG00000138002
P20042	ENSG00000125977
Q04637	ENSG00000114867
P56537	ENSG00000242372
Q96M15	
P09913	ENSG00000119922
A6NMD0	ENSG00000244242
P01570	ENSG00000228083
P05014	ENSG00000236637
P01567	ENSG00000214042
P01574	ENSG00000171855
Q14164	ENSG00000263528
Q9H2S9	ENSG00000123411
Q14005	ENSG00000172349
Q14116	ENSG00000150782
Q9GZX6	ENSG00000127318
Q9NPF7	ENSG00000110944
P01589	ENSG00000134460
O95760	ENSG00000137033
P05113	ENSG00000113525
Q17R60	ENSG00000112706
Q9BZV3	ENSG00000081148
Q0VD86	ENSG00000196388
O15503	ENSG00000186480
P51460	ENSG00000248099
Q9NVR2	ENSG00000104613
Q5TA45	ENSG00000127054
Q96SY0	ENSG00000138614
P07476	ENSG00000163207
P55073	ENSG00000197406
Q8NA54	ENSG00000164675
Q9NWZ3	ENSG00000198001
Q13568	ENSG00000128604
Q92985	ENSG00000185507;ENSG00000276561
Q9BUE6	ENSG00000135070
Q9H1K1	ENSG00000136003
Q96AZ6	ENSG00000172183
O60575	ENSG00000122711
A4D126	ENSG00000214960
O75578	ENSG00000143127
P56199	ENSG00000213949
P13612	ENSG00000115232
P23229	ENSG00000091409
Q13797	ENSG00000144668
P38570	ENSG00000083457
P20701	ENSG00000005844
P11215	ENSG00000169896
P16144	ENSG00000132470
P18564	ENSG00000115221
Q9UKP3	ENSG00000147166
Q6UXX5	ENSG00000102313
Q08881	ENSG00000113263
Q8WWU7	ENSG00000158764
Q5VZ72	ENSG00000205442
Q6IE81	ENSG00000077684
Q86VZ6	ENSG00000153814
Q8WYK2	ENSG00000140044
Q13387	ENSG00000008735
Q9UPT6	ENSG00000138834
Q9H665	ENSG00000126246
P01876	ENSG00000282633;ENSG00000211895
P01854	ENSG00000211891;ENSG00000276192
P01857	ENSG00000277633;ENSG00000211896
P01860	
A0M8Q6	
Q6WRI0	ENSG00000152580
Q9UKS7	ENSG00000030419
Q9UKT9	ENSG00000161405
Q9H5V7	ENSG00000095574
P40933	ENSG00000164136
Q9UHD0	ENSG00000142224
Q13007	ENSG00000162892
P16871	ENSG00000168685
P15248	ENSG00000145839
Q71H61	ENSG00000143195
P30740	ENSG00000021355
Q12906	ENSG00000129351
P20839	ENSG00000106348
P12268	ENSG00000178035
P29218	ENSG00000133731
O14732	ENSG00000141401
Q53TQ3	ENSG00000283510;ENSG00000114933
P38484	ENSG00000159128;ENSG00000262795
P08476	ENSG00000122641
P09529	ENSG00000163083
Q9ULG1	ENSG00000128908
P49441	ENSG00000151689
F8WCM5	ENSG00000129965
P14616	ENSG00000027644
Q9NVH2	ENSG00000143493
P05154	ENSG00000188488
Q86VI3	ENSG00000183856
Q9NZ38	
P98153	ENSG00000070413
O75874	ENSG00000138413
Q2VIR3	
P46199	ENSG00000085760
P78344	ENSG00000110321
Q6IS14	ENSG00000253626
Q5TF58	ENSG00000169991
P09912	ENSG00000126709
Q9BYX4	ENSG00000115267
Q01629	ENSG00000185201
A6NNB3	ENSG00000206013
Q8IU54	ENSG00000182393
Q9H7X7	ENSG00000128581
Q9Y366	ENSG00000101052
Q96LB3	ENSG00000096872
Q8WYA0	ENSG00000122970
Q6U949	
P78318	ENSG00000089289
P0DOX3	
P08069	ENSG00000140443
Q6UWQ7	ENSG00000204866
P0DOX5	
P01880	ENSG00000211898
P01859	ENSG00000211893;ENSG00000274497
P01861	ENSG00000277016;ENSG00000211892
P01871	ENSG00000211899;ENSG00000282657
P01591	ENSG00000132465
P0DOY3	ENSG00000211679
Q96ID5	ENSG00000117154
Q93033	ENSG00000134256
O95976	ENSG00000140749;ENSG00000283934
Q969P0	ENSG00000162729
Q14623	ENSG00000163501
Q6NXR0	ENSG00000124449
O00221	ENSG00000146232
P18510	ENSG00000136689
Q9HBE5	ENSG00000103522
Q9H293	ENSG00000166090
P14784	ENSG00000100385
P31785	ENSG00000147168
P60568	ENSG00000109471
Q8NI17	ENSG00000164509
Q9NZH8	ENSG00000136688
P08887	ENSG00000160712
P40189	ENSG00000134352
Q8NI35	ENSG00000132849
O15225	
Q9UK53	ENSG00000153487
Q9NXR8	ENSG00000071243
Q8WYH8	ENSG00000168395
P50213	ENSG00000166411
Q9BXS1	ENSG00000148377
P22304	ENSG00000010404
Q16666	ENSG00000163565
P47813	ENSG00000173674
Q9NZI8	ENSG00000159217
P60842	ENSG00000161960
P38919	ENSG00000141543
O60573	ENSG00000135930
P09914	ENSG00000185745
O14879	ENSG00000119917
Q13325	ENSG00000152778
P05013	ENSG00000120235
Q86WN2	ENSG00000184995
K9M1U5	
Q12894	ENSG00000214706
P05019	ENSG00000017427
P01344	ENSG00000167244
P01834	
P0DOY2	ENSG00000211677
A6NGN9	ENSG00000142549
Q8NI38	ENSG00000167604
Q5VVH5	ENSG00000146243
P29460	ENSG00000113302
Q9P0M4	ENSG00000124391
Q96PD4	ENSG00000112116
Q9NPH3	ENSG00000196083
P01583	ENSG00000115008
Q8WWZ1	ENSG00000136697
Q9P2X3	ENSG00000154059
Q9GZP8	ENSG00000167644
Q9C086	ENSG00000115274
Q9UNL4	ENSG00000111653
Q9NV88	ENSG00000104299
Q8N5X7	ENSG00000163412
Q9H496	ENSG00000169905
Q8TCB0	ENSG00000137965
P01571	ENSG00000234829
Q96LU5	ENSG00000148950
Q9NV31	ENSG00000177971
Q9NX62	ENSG00000104331
P05111	ENSG00000123999
Q9NTI7	ENSG00000197852
Q8IU57	ENSG00000185436
O95050	ENSG00000241644
Q96PE3	ENSG00000040933
Q9Y5U4	ENSG00000125629
Q14641	ENSG00000120211
P23677	ENSG00000137825
Q96DU7	ENSG00000086544
Q9UHH9	ENSG00000068745
Q6GPH6	ENSG00000198885
Q8TEX9	ENSG00000196497
O00410	ENSG00000065150
Q96P70	ENSG00000198700
Q9H2U2	ENSG00000138777
Q15051	ENSG00000173226
Q8N6M8	ENSG00000173389
B3KU38	
Q9Y5U9	ENSG00000134049
Q86U28	ENSG00000165898
P00995	ENSG00000164266
Q5DT21	ENSG00000204909
Q9H2X8	ENSG00000276879;ENSG00000119632
Q9UBH0	ENSG00000136695
P10997	ENSG00000121351
Q8WUF5	ENSG00000104881
P18065	ENSG00000115457
Q8NDH6	ENSG00000163596
Q9Y2F5	ENSG00000164151
Q9UPZ9	ENSG00000112144
O60725	ENSG00000116237
O75144	ENSG00000160223
Q9HBG6	ENSG00000163913
Q9Y6M1	ENSG00000073792
Q14240	ENSG00000156976
P06730	ENSG00000151247
Q15056	ENSG00000106682
P63241	ENSG00000132507
Q9GZV4	ENSG00000163577
Q8IZI9	ENSG00000197110
Q6UXB1	ENSG00000188624
A6NJ69	ENSG00000182700
P0DOX7	
P0CF74	
B9A064	ENSG00000254709
O00505	ENSG00000102753
P52294	ENSG00000114030
O15131	ENSG00000196911
P48551	ENSG00000159110
Q27J81	ENSG00000203485
P15260	ENSG00000027697
Q96HW7	ENSG00000149262
Q6P9B9	ENSG00000185085
Q9NSD9	ENSG00000116120
Q15046	ENSG00000065427
Q92797	ENSG00000125755
O14994	ENSG00000185666
Q16563	ENSG00000008282
Q5T160	ENSG00000146282
Q9BT88	ENSG00000132718
Q9BSW7	ENSG00000103528
Q8N9I0	ENSG00000143858
Q9BQG1	ENSG00000213023
Q9H2B2	ENSG00000132872
Q5T7P8	ENSG00000134207
O43581	ENSG00000011347
A2RTX5	ENSG00000185418
Q96C24	ENSG00000102362
Q5T011	ENSG00000198198
Q9BVX2	ENSG00000134291
Q9Y5J6	ENSG00000132286
Q8N4U5	ENSG00000166046
A0PK00	ENSG00000188735
A2VDJ0	ENSG00000121210
A6NC51	ENSG00000180061
Q8N4L1	ENSG00000179292
Q8IW70	ENSG00000178233
Q9NX61	ENSG00000064545
Q8NDZ6	ENSG00000164180
Q5T4T1	ENSG00000205269
Q6ZVK1	ENSG00000276342;ENSG00000258986
Q9NVA4	ENSG00000164168
Q8NFB2	ENSG00000269556
Q69YZ2	ENSG00000253304
O75157	ENSG00000196428
Q99576	ENSG00000157514
Q8WV15	ENSG00000184497
Q9P289	ENSG00000134602
Q9H169	ENSG00000015592
E0CX11	ENSG00000243317
Q8WXE9	ENSG00000140022
Q6ZVD7	ENSG00000165730
Q5TH74	ENSG00000001460
Q9ULQ0	ENSG00000128578
P63165	ENSG00000116030
Q15527	ENSG00000148291
Q15022	ENSG00000178691
Q8N300	ENSG00000177868
Q4LDE5	ENSG00000165124
Q8N4V2	ENSG00000166111
Q9P2J5	ENSG00000133706
Q15031	ENSG00000011376
Q9H7C4	ENSG00000162520
Q6ZMZ3	ENSG00000176438
O43426	ENSG00000159082
P08247	ENSG00000102003
Q5VXT5	ENSG00000143028
Q8N2H4	ENSG00000204070
Q9NP81	ENSG00000283104;ENSG00000104835
Q8NB59	ENSG00000143469
Q86SS6	ENSG00000170743
Q8IYJ3	ENSG00000142765
P37840	ENSG00000145335
Q86TM6	ENSG00000162298
P23381	ENSG00000140105
Q9NUM4	ENSG00000106460
Q96HP8	ENSG00000002933
H3BS89	ENSG00000261115
Q7Z7N9	ENSG00000185475
Q8IXX5	ENSG00000163444
Q9Y519	ENSG00000198792
Q86VY9	ENSG00000164484
Q15714	ENSG00000102804
Q9Y3Q8	ENSG00000166925
Q8N9U0	ENSG00000276776;ENSG00000165929
O75410	ENSG00000147526
Q86TJ2	ENSG00000173011
Q92750	ENSG00000141384
Q5H9L4	ENSG00000102387
Q15545	ENSG00000178913
Q9HBM6	ENSG00000187325
Q9BRV3	ENSG00000169241
Q96A49	ENSG00000169895
Q9NX95	ENSG00000147642
Q15431	ENSG00000198765
Q6ZW31	ENSG00000105137
P56192	ENSG00000166986
O43776	ENSG00000134440
Q96I59	ENSG00000137513
Q9UMS6	ENSG00000172403
Q8TBG9	ENSG00000163630
P49591	ENSG00000031698
P26639	ENSG00000113407
Q9BW92	ENSG00000143374
O15240	ENSG00000128564
Q9P2U7	ENSG00000104888
Q8NDX2	ENSG00000179520
P63123	
Q15906	ENSG00000163159
Q99986	ENSG00000100749
Q8IV63	ENSG00000105053
Q9H8Y1	ENSG00000133980
Q8IW00	ENSG00000165633
Q8TAG5	ENSG00000170419
Q5GFL6	ENSG00000165816
Q2TAL6	ENSG00000188730
Q8TF74	ENSG00000171475
Q9Y4P8	ENSG00000157954
Q9Y3S1	ENSG00000165238
Q9UBV4	ENSG00000002745
Q93097	ENSG00000134245
Q9H1J7	ENSG00000111186
P56706	ENSG00000188064
Q93098	ENSG00000075290
O14905	ENSG00000276799;ENSG00000158955
Q8N9V3	ENSG00000196151
P19544	ENSG00000184937
Q6GPH4	ENSG00000132530
P17861	ENSG00000100219
Q01831	ENSG00000154767
Q96QU8	ENSG00000169180
Q9NQW7	ENSG00000108039
Q6P2D8	ENSG00000166435
P52735	ENSG00000160293
Q96JH7	ENSG00000175073
P15692	ENSG00000112715
Q86XT2	ENSG00000176428
P10265	
P63125	
Q641Q2	ENSG00000099290
Q9BUR4	ENSG00000141499
Q12768	ENSG00000164961
A8K0Z3	ENSG00000181404
Q9GZL7	ENSG00000138442
Q8NEZ3	ENSG00000157796
Q64LD2	ENSG00000176473
O94967	ENSG00000085433
Q8WVS4	ENSG00000126870
Q9GZS3	ENSG00000140395
Q8IWG1	ENSG00000162643
Q9NW82	ENSG00000082068
Q3MJ13	ENSG00000166415
Q9Y4E6	ENSG00000091157
Q562E7	ENSG00000167716;ENSG00000276021
Q96FK6	ENSG00000140006
P0C1S8	ENSG00000263042;ENSG00000214102
Q8NEX6	ENSG00000180083
Q9HC57	ENSG00000103175
O76024	ENSG00000109501
Q9Y5W5	ENSG00000156076
A6NGB9	ENSG00000122574
Q5MNZ6	ENSG00000141580
O95389	ENSG00000112761
P04628	ENSG00000125084
Q9H1J5	ENSG00000061492
Q96S55	ENSG00000124535
Q14191	ENSG00000165392
P47992	ENSG00000143184
Q8IZH2	ENSG00000114127
Q92890	ENSG00000070010
A0JNW5	ENSG00000111647
Q8TAS1	ENSG00000152332
Q96QD9	ENSG00000122068
Q96RL1	ENSG00000087206
Q765I0	ENSG00000188958
Q2YD98	ENSG00000163945
Q16572	ENSG00000187714
Q6EMK4	ENSG00000274334;ENSG00000168140
Q9HCJ6	ENSG00000171724
Q9UI12	ENSG00000047249
P27449	ENSG00000185883
P49765	ENSG00000173511
Q8NFZ6	ENSG00000196131
A5D8V6	ENSG00000167987
Q9UKI3	ENSG00000128218
Q9BRG1	ENSG00000131475
Q8N0Z9	ENSG00000176834
Q6UX27	ENSG00000275577;ENSG00000274887;ENSG00000276159;ENSG00000276363;ENSG00000275962;ENSG00000274953;ENSG00000277607;ENSG00000276066;ENSG00000189068;ENSG00000275330
P02774	ENSG00000145321
Q9Y334	ENSG00000204396;ENSG00000227144;ENSG00000234433;ENSG00000223757;ENSG00000238203;ENSG00000230048
Q9Y3C0	ENSG00000120860
Q2M389	ENSG00000136051
Q9Y6W5	ENSG00000158195
Q9NX94	ENSG00000166272
Q9H7D7	ENSG00000162923
Q96EX3	ENSG00000119333
Q8NI36	ENSG00000134987
Q5JTN6	ENSG00000136918
Q9HAD4	ENSG00000164253
Q9H977	ENSG00000005448
Q9H6Y2	ENSG00000120314
Q86VZ2	ENSG00000196981
P30291	ENSG00000166483
Q8WWY7	ENSG00000168703
Q8TCV5	ENSG00000175121
Q9BQY6	ENSG00000243543
Q8NEX5	ENSG00000180205
Q96NZ8	ENSG00000127578
Q8TEU8	ENSG00000173714
Q5DID0	ENSG00000177398
Q9Y6N9	ENSG00000006611
Q5W0Q7	ENSG00000132952
P46939	ENSG00000152818
P37288	ENSG00000166148
Q8NHE4	ENSG00000171130
P23763	ENSG00000139190
O75379	ENSG00000117533
P21283	ENSG00000155097
O15195	ENSG00000136059
Q8TDU5	
Q709C8	ENSG00000129003
Q5THJ4	ENSG00000048707
Q96AX1	ENSG00000139719
P63119	
P63122	
P12018	ENSG00000169575
Q9H269	ENSG00000215305
P49754	ENSG00000006715
Q9UID3	ENSG00000149823
Q86VR7	ENSG00000186806
Q86XK7	ENSG00000101842
P0DPA2	ENSG00000243284
A6NLU5	ENSG00000187135
Q92558	ENSG00000112290
C4AMC7	
Q9H6R7	ENSG00000163026
Q8IWB7	ENSG00000085449
Q9BZH6	ENSG00000120008
Q8IZU2	ENSG00000150627
Q9BV38	ENSG00000065268
Q96S15	ENSG00000127580
A2RRH5	ENSG00000184465
Q9UNX4	ENSG00000065183
O15213	ENSG00000206284;ENSG00000236222;ENSG00000226916;ENSG00000204221;ENSG00000227057
Q7Z5U6	ENSG00000185798
Q6PJI9	ENSG00000103091
B1ANS9	ENSG00000162843
Q8IWA0	ENSG00000115368
Q86TI4	ENSG00000187260
Q96KV7	ENSG00000161996
Q9HBM0	ENSG00000028203
Q99990	ENSG00000102243
P32241	ENSG00000114812
P41587	ENSG00000106018
P38435	ENSG00000115486
Q96AW1	ENSG00000154978
P63121	
Q96RL7	ENSG00000197969
Q4G0F5	ENSG00000151502
Q9Y6I0	
P58304	ENSG00000119614
Q9NP79	ENSG00000009844
Q7Z7D3	ENSG00000134258
Q96AJ9	ENSG00000151532
Q6PCB0	ENSG00000179403
Q502W6	ENSG00000168658
A3KMH1	ENSG00000102763
Q96DN2	ENSG00000167992
Q9H1F0	ENSG00000180305
Q8TF30	ENSG00000156232
Q9Y484	ENSG00000196998
O95388	ENSG00000104415
Q9GZT5	ENSG00000135925
O00744	ENSG00000169884
Q9H4A3	ENSG00000060237
O96014	ENSG00000085741
O00258	ENSG00000182093
Q9NYS7	ENSG00000176871
Q9NZC7	ENSG00000186153
P46094	ENSG00000173578
Q5GH77	ENSG00000172967
Q6UX68	
Q9H6D3	ENSG00000158156
Q5GH70	ENSG00000221947
Q92889	ENSG00000175595
O14980	ENSG00000082898
P55060	ENSG00000124207
P63127	
Q9Y487	ENSG00000185344
Q9H270	ENSG00000160695
Q9UK41	ENSG00000160948
Q86VN1	ENSG00000136100
Q8N1B4	ENSG00000206286;ENSG00000225590;ENSG00000223501;ENSG00000224455;ENSG00000228425;ENSG00000236014
Q96IQ7	ENSG00000019102
Q9Y279	ENSG00000155659
A8MXK1	ENSG00000214376
Q9UEU0	ENSG00000100568
Q5TIE3	ENSG00000158816
B2RUY7	ENSG00000174453
Q8N2E2	ENSG00000146530
P04275	ENSG00000110799
Q5SRD0	
Q9BTA9	ENSG00000095787
A8MWX3	
P42768	ENSG00000015285
O75554	ENSG00000120688
Q6ZS81	ENSG00000128815
O75717	ENSG00000198554
Q9H1Z4	ENSG00000101940
O75083	ENSG00000071127
Q8NA23	ENSG00000148225
Q9C0J8	ENSG00000136709
Q9Y2I8	ENSG00000047056
Q8IV35	ENSG00000174776
Q8IUB3	ENSG00000182931
O76076	ENSG00000064205
P09544	ENSG00000105989
P56703	ENSG00000277626;ENSG00000277641;ENSG00000108379
Q9Y6F9	ENSG00000115596
A6NIX2	ENSG00000142279
Q9ULE0	ENSG00000047644
